"regions","iso3","name","year","boreal","temperate","tropical","subtropical","1d_expansion","1d_afforestation","1d_nat_exp","1d_deforestation","1e_reforestation"
"EU-27, FOREST EUROPE, International Tropical Timber Organization, UNECE, Europe","CZE","Czechia","2000-2010",0,100,0,0,,,,,"19.17"
"EU-27, FOREST EUROPE, International Tropical Timber Organization, UNECE, Europe","CZE","Czechia","2010-2015",0,100,0,0,,,,,"20.73"
"EU-27, FOREST EUROPE, International Tropical Timber Organization, UNECE, Europe","CZE","Czechia","2015-2020",0,100,0,0,,,,,"19.57"
"UNECE, Europe, International Tropical Timber Organization, FOREST EUROPE, EU-27","DEU","Germany","1990-2000",0,100,0,0,"12.20","8.00","4.00","6.80","30.00"
"UNECE, Europe, International Tropical Timber Organization, FOREST EUROPE, EU-27","DEU","Germany","2000-2010",0,100,0,0,"11.33","9.00","2.00","5.83","48.00"
"UNECE, Europe, International Tropical Timber Organization, FOREST EUROPE, EU-27","DEU","Germany","2010-2015",0,100,0,0,"9.00","7.00","2.00","7.00","48.00"
"UNECE, Europe, International Tropical Timber Organization, FOREST EUROPE, EU-27","DEU","Germany","2015-2020",0,100,0,0,"7.00","4.00","3.00","7.00","48.00"
"Africa","DJI","Djibouti","1990-2000",0,0,100,0,"0.00","0.00","0.00","0.00","0.00"
"Africa","DJI","Djibouti","2000-2010",0,0,100,0,"0.00","0.00","0.00","0.00","0.00"
"Africa","DJI","Djibouti","2010-2015",0,0,100,0,"0.00","0.00","0.00","0.00","0.00"
"Africa","DJI","Djibouti","2015-2020",0,0,100,0,"0.20","0.20","0.00","0.16","0.00"
"North and Central America","DMA","Dominica","1990-2000",0,0,100,0,,,,,"0.00"
"North and Central America","DMA","Dominica","2000-2010",0,0,100,0,,,,,"0.00"
"North and Central America","DMA","Dominica","2010-2015",0,0,100,0,,,,,"0.00"
"North and Central America","DMA","Dominica","2015-2020",0,0,100,0,,,,,"0.00"
"International Tropical Timber Organization, FOREST EUROPE, EU-27, UNECE, Europe","DNK","Denmark","1990-2000",0,100,0,0,"4.05","4.05","0.00","0.03","4.29"
"International Tropical Timber Organization, FOREST EUROPE, EU-27, UNECE, Europe","DNK","Denmark","2000-2010",0,100,0,0,"1.67","1.66","0.00","0.18","3.47"
"International Tropical Timber Organization, FOREST EUROPE, EU-27, UNECE, Europe","DNK","Denmark","2010-2015",0,100,0,0,"7.90","7.90","0.00","0.26","3.44"
